trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,task_1,task_1_raw,task_1_duration,task_2,dummy,key_resp_3.keys,key_resp_3.rt,key_resp_.keys,key_resp_.rt,date,frameRate,session,participant,expName,
,,,,,,,,,down,0.913652517000628,,,2018_Aug_23_1255,2521.46586968,001,,Robot_Voice,
,,,,,,,,,,,down,1.1005698349999875,2018_Aug_23_1255,2521.46586968,001,,Robot_Voice,
