trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,task_1,task_1_raw,task_1_duration,task_2,dummy,key_resp_3.keys,key_resp_3.rt,key_resp_.keys,key_resp_.rt,participant,expName,date,frameRate,session,
,,,,,,,,,down,0.5146695379999073,,,,Robot_Voice,2018_Aug_23_1307,2525.12053026,001,
,,,,,,,,,,,escape,1.5807540590003555,,Robot_Voice,2018_Aug_23_1307,2525.12053026,001,
