ID, voice, choice1, t1, choice2, t2, choice3, t3, reset, s1, s2, s3 
dummy,Cali_F,stevie,1.4219951380000566,pepper,0.42906703900007415,sciprr,0.3247209670007578,0,4,4,3
dummy,Cali_M,g5,1.3743254170003638,icub,1.3233377360011218,stevie,0.2487222780000593,0,4,4,5
