word,colour,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,response.keys,response.corr,response.rt,date,frameRate,expName,session,participant,
,,,,,,,,down,0.604794945857,,,,2018_Aug_22_2253,59.95874478119109,Robot_Voice,001,,
red,green,0,down,0,0,0,1,,,down,1,0.730572171502,2018_Aug_22_2253,59.95874478119109,Robot_Voice,001,,
green,blue,0,right,0,1,1,3,,,down,0,0.301132279255,2018_Aug_22_2253,59.95874478119109,Robot_Voice,001,,
