ID, voice, choice1, t1, choice2, t2, choice3, t3, reset, s1, s2, s3 
dummy,pepper,icub,2.5720215850005843,stevie,0.69349791500008,pepper,1.21973911600071,0,4,3,2
dummy,pr2,stevie,1.8392197980001583,pepper,0.7200788059999468,sciprr,0.7681202849998954,0,5,4,3
