voice1,task_1_raw,task_1_duration,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,response.keys,response.rt,frameRate,session,participant,date,expName,
,,,,,,,,down,1.2096958040001482,,,2521.59684674,001,,2018_Aug_23_1201,Robot_Voice,
sounds/pepper_sydney/sentence_09.wav,2,3,sounds/pepper_sydney/sentence_05.wav,0,0,0,5,,,down,1.9138139970000339,2521.59684674,001,,2018_Aug_23_1201,Robot_Voice,
sounds/pepper_sydney/sentence_17.wav,1,2,sounds/pepper_sydney/sentence_05.wav,0,1,1,13,,,down,1.0208658900000955,2521.59684674,001,,2018_Aug_23_1201,Robot_Voice,
sounds/pepper_sydney/sentence_11.wav,1,2,sounds/pepper_sydney/sentence_05.wav,0,2,2,7,,,down,1.5764217319997442,2521.59684674,001,,2018_Aug_23_1201,Robot_Voice,
