task_1,task_1_raw,task_1_duration,task_2,task_2_raw,task_2_duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,response.keys,response.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,down,0.626957349356,,,2018_Aug_23_0903,60.11454756538129,Robot_Voice,001,,
sounds/pepper_sydney/sentence_09,2,3,None,None,None,0,0,0,5,,,down,3.06881153509,2018_Aug_23_0903,60.11454756538129,Robot_Voice,001,,
sounds/pepper_sydney/sentence_14,1,2,None,None,None,0,1,1,10,,,down,1.94962239594,2018_Aug_23_0903,60.11454756538129,Robot_Voice,001,,
sounds/pepper_sydney/sentence_07,2,3,None,None,None,0,2,2,3,,,down,0.637496550815,2018_Aug_23_0903,60.11454756538129,Robot_Voice,001,,
