26.5204 	DATA 	Keypress: down
26.5227 	EXP 	New trial (rep=1, index=5): OrderedDict([(u'word', u'green'), (u'colour', u'green'), (u'congruent', 1), (u'corrAns', u'down')])
26.5475 	EXP 	target: autoDraw = False
26.5475 	EXP 	target: color = u'green (named)'
26.5475 	EXP 	target: text = u'green'
27.0543 	EXP 	target: autoDraw = True
27.3542 	DATA 	Keypress: down
27.3564 	EXP 	New trial (rep=2, index=0): OrderedDict([(u'word', u'blue'), (u'colour', u'red'), (u'congruent', 0), (u'corrAns', u'left')])
27.3801 	EXP 	target: autoDraw = False
27.3801 	EXP 	target: color = u'red (named)'
27.3801 	EXP 	target: text = u'blue'
27.8883 	EXP 	target: autoDraw = True
28.0050 	DATA 	Keypress: down
28.0073 	EXP 	New trial (rep=2, index=1): OrderedDict([(u'word', u'green'), (u'colour', u'green'), (u'congruent', 1), (u'corrAns', u'down')])
28.0310 	EXP 	target: autoDraw = False
28.0310 	EXP 	target: color = u'green (named)'
28.0310 	EXP 	target: text = u'green'
28.5385 	EXP 	target: autoDraw = True
28.7713 	DATA 	Keypress: down
28.7737 	EXP 	New trial (rep=2, index=2): OrderedDict([(u'word', u'red'), (u'colour', u'green'), (u'congruent', 0), (u'corrAns', u'down')])
28.7961 	EXP 	target: autoDraw = False
28.7961 	EXP 	target: color = u'green (named)'
28.7961 	EXP 	target: text = u'red'
29.3074 	EXP 	target: autoDraw = True
29.4556 	DATA 	Keypress: right
29.4578 	EXP 	New trial (rep=2, index=3): OrderedDict([(u'word', u'green'), (u'colour', u'blue'), (u'congruent', 0), (u'corrAns', u'right')])
29.4834 	EXP 	target: autoDraw = False
29.4834 	EXP 	target: color = u'blue (named)'
29.4834 	EXP 	target: text = u'green'
29.9896 	EXP 	target: autoDraw = True
30.2011 	DATA 	Keypress: right
30.2033 	EXP 	New trial (rep=2, index=4): OrderedDict([(u'word', u'red'), (u'colour', u'red'), (u'congruent', 1), (u'corrAns', u'left')])
30.2266 	EXP 	target: autoDraw = False
30.2266 	EXP 	target: color = u'red (named)'
30.2266 	EXP 	target: text = u'red'
30.7235 	EXP 	target: autoDraw = True
30.7898 	DATA 	Keypress: right
30.7920 	EXP 	New trial (rep=2, index=5): OrderedDict([(u'word', u'blue'), (u'colour', u'blue'), (u'congruent', 1), (u'corrAns', u'right')])
30.8167 	EXP 	target: autoDraw = False
30.8167 	EXP 	target: color = u'blue (named)'
30.8167 	EXP 	target: text = u'blue'
31.3237 	EXP 	target: autoDraw = True
31.4064 	DATA 	Keypress: right
31.4087 	EXP 	New trial (rep=3, index=0): OrderedDict([(u'word', u'blue'), (u'colour', u'red'), (u'congruent', 0), (u'corrAns', u'left')])
31.4245 	EXP 	target: autoDraw = False
31.4245 	EXP 	target: color = u'red (named)'
31.4245 	EXP 	target: text = u'blue'
31.9394 	EXP 	target: autoDraw = True
31.9415 	DATA 	Keypress: right
31.9702 	EXP 	New trial (rep=3, index=1): OrderedDict([(u'word', u'green'), (u'colour', u'blue'), (u'congruent', 0), (u'corrAns', u'right')])
31.9952 	EXP 	target: autoDraw = False
31.9952 	EXP 	target: color = u'blue (named)'
31.9952 	EXP 	target: text = u'green'
32.4908 	EXP 	target: autoDraw = True
32.5743 	DATA 	Keypress: right
32.5765 	EXP 	New trial (rep=3, index=2): OrderedDict([(u'word', u'blue'), (u'colour', u'blue'), (u'congruent', 1), (u'corrAns', u'right')])
32.6002 	EXP 	target: autoDraw = False
32.6002 	EXP 	target: color = u'blue (named)'
32.6002 	EXP 	target: text = u'blue'
33.1075 	EXP 	target: autoDraw = True
33.2412 	DATA 	Keypress: right
33.2435 	EXP 	New trial (rep=3, index=3): OrderedDict([(u'word', u'green'), (u'colour', u'green'), (u'congruent', 1), (u'corrAns', u'down')])
33.2688 	EXP 	target: autoDraw = False
33.2688 	EXP 	target: color = u'green (named)'
33.2688 	EXP 	target: text = u'green'
33.3243 	DATA 	Keypress: right
33.7750 	EXP 	target: autoDraw = True
33.8918 	DATA 	Keypress: right
33.8940 	EXP 	New trial (rep=3, index=4): OrderedDict([(u'word', u'red'), (u'colour', u'red'), (u'congruent', 1), (u'corrAns', u'left')])
33.9169 	EXP 	target: autoDraw = False
33.9169 	EXP 	target: color = u'red (named)'
33.9169 	EXP 	target: text = u'red'
34.4257 	EXP 	target: autoDraw = True
34.7918 	DATA 	Keypress: right
34.7940 	EXP 	New trial (rep=3, index=5): OrderedDict([(u'word', u'red'), (u'colour', u'green'), (u'congruent', 0), (u'corrAns', u'down')])
34.8098 	EXP 	target: autoDraw = False
34.8098 	EXP 	target: color = u'green (named)'
34.8098 	EXP 	target: text = u'red'
35.3248 	EXP 	target: autoDraw = True
35.3921 	DATA 	Keypress: right
35.3944 	EXP 	New trial (rep=4, index=0): OrderedDict([(u'word', u'red'), (u'colour', u'red'), (u'congruent', 1), (u'corrAns', u'left')])
35.4102 	EXP 	target: autoDraw = False
35.4102 	EXP 	target: color = u'red (named)'
35.4102 	EXP 	target: text = u'red'
35.9252 	EXP 	target: autoDraw = True
36.1930 	DATA 	Keypress: right
36.1952 	EXP 	New trial (rep=4, index=1): OrderedDict([(u'word', u'green'), (u'colour', u'green'), (u'congruent', 1), (u'corrAns', u'down')])
36.2193 	EXP 	target: autoDraw = False
36.2193 	EXP 	target: color = u'green (named)'
36.2193 	EXP 	target: text = u'green'
36.7268 	EXP 	target: autoDraw = True
37.0770 	DATA 	Keypress: right
37.0793 	EXP 	New trial (rep=4, index=2): OrderedDict([(u'word', u'red'), (u'colour', u'green'), (u'congruent', 0), (u'corrAns', u'down')])
37.1022 	EXP 	target: autoDraw = False
37.1022 	EXP 	target: color = u'green (named)'
37.1022 	EXP 	target: text = u'red'
37.6104 	EXP 	target: autoDraw = True
37.8935 	DATA 	Keypress: right
37.8957 	EXP 	New trial (rep=4, index=3): OrderedDict([(u'word', u'blue'), (u'colour', u'blue'), (u'congruent', 1), (u'corrAns', u'right')])
37.9197 	EXP 	target: autoDraw = False
37.9197 	EXP 	target: color = u'blue (named)'
37.9197 	EXP 	target: text = u'blue'
38.4275 	EXP 	target: autoDraw = True
38.7612 	DATA 	Keypress: right
38.7635 	EXP 	New trial (rep=4, index=4): OrderedDict([(u'word', u'blue'), (u'colour', u'red'), (u'congruent', 0), (u'corrAns', u'left')])
38.7793 	EXP 	target: autoDraw = False
38.7793 	EXP 	target: color = u'red (named)'
38.7793 	EXP 	target: text = u'blue'
39.2939 	EXP 	target: autoDraw = True
39.5952 	DATA 	Keypress: right
39.5974 	EXP 	New trial (rep=4, index=5): OrderedDict([(u'word', u'green'), (u'colour', u'blue'), (u'congruent', 0), (u'corrAns', u'right')])
39.6232 	EXP 	target: autoDraw = False
39.6232 	EXP 	target: color = u'blue (named)'
39.6232 	EXP 	target: text = u'green'
40.1288 	EXP 	target: autoDraw = True
40.4123 	DATA 	Keypress: right
40.5301 	EXP 	window1: mouseVisible = True
