trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,task_1,task_1_raw,task_1_duration,task_2,dummy,key_resp_3.keys,key_resp_3.rt,key_resp_.keys,key_resp_.rt,expName,session,frameRate,date,participant,
,,,,,,,,,down,0.6925219390004713,,,Robot_Voice,001,2289.03561085,2018_Aug_23_1306,,
,,,,,,,,,,,escape,2.087190988000657,Robot_Voice,001,2289.03561085,2018_Aug_23_1306,,
