task_1,task_1_raw,task_1_duration,task_2,dummy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,response.keys,response.rt,expName,date,session,participant,frameRate,
,,,,,,,,,down,0.6864013570002498,,,Robot_Voice,2018_Aug_23_1239,001,,2489.64308454,
sounds/pepper_sydney/sentence_14.wav,1,2,None,sounds/pepper_sydney/sentence_05.wav,0,0,0,10,,,down,1.873179321999487,Robot_Voice,2018_Aug_23_1239,001,,2489.64308454,
