word,colour,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,response.keys,response.corr,response.rt,date,frameRate,expName,session,participant,
,,,,,,,,down,0.573590651224,,,,2018_Aug_22_2315,59.958035204309354,Robot_Voice,001,,
blue,red,0,left,0,0,0,5,,,down,0,0.625531489899,2018_Aug_22_2315,59.958035204309354,Robot_Voice,001,,
red,red,1,left,0,1,1,0,,,down,0,0.022716641226,2018_Aug_22_2315,59.958035204309354,Robot_Voice,001,,
