task_1,task_1_raw,task_1_duration,task_2,task_2_raw,task_2_duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,response.keys,response.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,return,0.513601128056,,,2018_Aug_23_0921,None,Robot_Voice,001,,
sounds/pepper_sydney/sentence_09,2,3,None,None,None,0,0,0,5,,,down,3.35073852967,2018_Aug_23_0921,None,Robot_Voice,001,,
