TestID, UserID, voice, choice1, t1, choice2, t2, choice3, t3, reset, s1, s2, s3 
2,2,training,chappie,1.555537514000207,walle,0.21157624399984343,r2d2,0.4219647760000953,0,4,4,3
2,2,Cali_F,stevie,1.8575418830000672,pepper,0.9044912670001395,sciprr,0.43508214299981773,0,4,2,4
2,2,Cali_M,sciprr,1.3207346009999128,pr2,0.27127387800010183,stevie,0.2514185049999469,0,5,4,3
1,2,training,ava,13.318631403999916,baymax,1.063400774999991,chappie,1.1484824059998573,0,4,3,4
1,2,Cali_M,stevie,1.4906924970000546,pepper,0.2723644420002529,sciprr,0.6615621789997022,0,4,3,3
1,2,Cali_F,stevie,0.5996089929999471,pepper,0.25056214999995063,sciprr,0.40505697999969925,0,4,2,3
