TestID, UserID, voice, repeated, choice1, t1, choice2, t2, choice3, t3, resetEval, s1, s2, s3 
2,39,training,False,walle,5.68074978300001,r2d2,5.024351541000215,chappie,4.225990144000207,0,3,4,2
2,39,syn_Dublin_M,False,sciprr,13.652016948999972,poli,5.161581402000138,flash,0.6179080089996205,0,5,5,4
2,39,Pepper_Default,False,icub,5.460394611999618,g5,2.5260002810000515,pepper,1.2376651030003814,0,5,4,4
2,39,Stevie_Cereproc,False,stevie,9.013346144000025,pepper,5.338681493999957,flash,5.522946302000037,0,4,3,2
2,39,syn_Rome_M,False,sciprr,4.103076508999948,poli,3.92820274099995,pr2,2.3340720619999047,0,5,5,5
2,39,Rome_F,False,icub,5.555077008999888,pepper,4.294327768999665,sciprr,6.56461540600003,0,5,5,5
2,39,SCIPRR_Cepstral,False,poli,4.972582995000266,pr2,2.1910851790003107,flash,6.673752573999991,0,5,4,3
2,39,Dublin_M,False,stevie,4.490031693999754,pepper,12.395779610999853,icub,3.177559048999683,0,4,5,5
2,39,Cali_M,False,icub,8.373778475000108,stevie,1.998213294999914,pepper,0.5429958630002147,0,5,4,5
2,39,Cali_F,False,icub,3.146366166000007,stevie,0.46303526600013356,pepper,2.4654128729998774,0,5,4,5
2,39,Dublin_F,False,icub,6.160478047000197,poli,6.096725377999974,pepper,5.213036426000144,0,5,4,4
2,39,ROS_Festival,False,pr2,5.428460789000383,g5,1.2811991409998882,flash,1.5247490490000928,0,5,3,5
2,39,syn_Cali_M,False,poli,3.636523686000146,sciprr,1.5762953110001945,pr2,3.7375714919999155,0,5,4,5
2,39,syn_Cali_F,False,pr2,7.027202104000025,poli,2.735735482999644,flash,2.410752477999722,0,5,5,4
2,39,Rome_M,False,pepper,3.5891882450000594,icub,1.8329410230003305,flash,1.617137766000269,0,2,2,4
2,39,G5_Icub_Acapela,False,pr2,7.666049559000385,sciprr,0.6751371389996166,g5,5.525822540999798,0,3,5,2
2,39,Reem_Acapela,False,icub,4.54153998899983,pepper,1.2666550620001544,sciprr,2.7287592779998704,0,4,5,5
2,39,Flash_Cereproc,False,pepper,14.397781070999827,poli,1.2355899129997852,g5,0.6878838090001409,0,4,4,5
2,39,syn_Dublin_F,False,sciprr,3.4676190410000345,poli,1.5699543420000737,pr2,3.9178564130002087,0,4,5,5
2,39,syn_Rome_F,False,pr2,4.5083535050002865,poli,7.3201331420000315,flash,1.5105370510000284,0,5,4,3
2,39,PR2_Cepstral,False,flash,3.895864383999651,stevie,3.5435758110006645,pr2,2.3872839089999616,0,5,4,3
2,39,Poli_Polly,False,g5,3.1451963590006926,pepper,1.63345807099995,poli,1.719280360999619,0,2,3,4
