task_1,task_1_raw,task_1_duration,task_2,dummy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,response.keys,response.rt,session,frameRate,expName,participant,date,
,,,,,,,,,down,0.8496246260001499,,,001,2562.05817278,Robot_Voice,,2018_Aug_23_1238,
sounds/pepper_sydney/sentence_04.wav,1,2,sounds/pepper_sydney/sentence_01.wav,sounds/pepper_sydney/sentence_05.wav,0,0,0,0,,,down,0.17159735600034765,001,2562.05817278,Robot_Voice,,2018_Aug_23_1238,
