task_1,task_1_raw,task_1_duration,task_2,task_2_raw,task_2_duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,response.keys,response.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,down,0.958164130949,,,2018_Aug_23_0920,60.39085129141596,Robot_Voice,001,,
sounds/pepper_sydney/sentence_12,2,3,None,None,None,0,0,0,8,,,down,5.20175003326,2018_Aug_23_0920,60.39085129141596,Robot_Voice,001,,
