task_1,task_1_raw,task_1_duration,task_2,dummy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,response.keys,response.rt,frameRate,date,participant,expName,session,
,,,,,,,,,down,0.6014609949997975,,,2123.20220498,2018_Aug_23_1242,,Robot_Voice,001,
sounds/pepper_sydney/sentence_17.wav,1,2,None,sounds/pepper_sydney/sentence_05.wav,0,0,0,13,,,down,3.115804164999645,2123.20220498,2018_Aug_23_1242,,Robot_Voice,001,
sounds/pepper_sydney/sentence_08.wav,1,2,None,sounds/pepper_sydney/sentence_05.wav,0,1,1,4,,,down,0.288511619000019,2123.20220498,2018_Aug_23_1242,,Robot_Voice,001,
