task_1,task_1_raw,task_1_duration,task_2,dummy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,response.keys,response.rt,participant,session,date,frameRate,expName,
,,,,,,,,,down,0.4228960130003543,,,,001,2018_Aug_23_1230,2293.74159486,Robot_Voice,
sounds/pepper_sydney/sentence_05.wav,2,3,sounds/pepper_sydney/sentence_02.wav,sounds/pepper_sydney/sentence_05.wav,0,0,0,1,,,down,14.269895846000509,,001,2018_Aug_23_1230,2293.74159486,Robot_Voice,
